Sample   ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
      391,0.556     ,0.99      ,0.410     ,0.0402    ,     10000
      392,0.540     ,-2.38     ,0.269     ,0.0228    ,     10000
      393,0.794     ,-2.78     ,0.436     ,0.0521    ,     10000
      394,0.714     ,3.97      ,0.243     ,0.0554    ,     10000
      395,0.952     ,0.20      ,0.384     ,0.0674    ,     10000
      396,0.794     ,1.19      ,0.243     ,0.0358    ,     10000
      397,0.810     ,0.79      ,0.294     ,0.0434    ,     10000
      398,0.556     ,0.60      ,0.461     ,0.0304    ,     10000
      399,0.698     ,-0.60     ,0.256     ,0.0467    ,     10000
      400,0.698     ,-0.20     ,0.153     ,0.0424    ,     10000
      401,0.873     ,2.98      ,0.217     ,0.0456    ,     10000
      402,0.952     ,2.78      ,0.166     ,0.0413    ,     10000
      403,0.873     ,3.77      ,0.153     ,0.0445    ,     10000
      404,0.762     ,3.17      ,0.281     ,0.0413    ,     10000
      405,0.968     ,-1.39     ,0.153     ,0.0358    ,     10000
      406,0.762     ,-0.20     ,0.397     ,0.0424    ,     10000
      407,0.794     ,-0.99     ,0.307     ,0.0413    ,     10000
      408,0.540     ,0.99      ,0.307     ,0.0337    ,     10000
      409,0.714     ,-1.98     ,0.384     ,0.0260    ,     10000
      410,0.714     ,0.20      ,0.397     ,0.0402    ,     10000
      411,1.000     ,1.19      ,0.371     ,0.0467    ,     10000
      412,0.825     ,-0.99     ,0.307     ,0.0543    ,     10000
      413,0.556     ,1.39      ,0.371     ,0.0489    ,     10000
      414,0.508     ,-2.98     ,0.526     ,0.0445    ,     10000
      415,0.460     ,-2.38     ,0.230     ,0.0413    ,     10000
      416,0.714     ,-1.59     ,0.089     ,0.0467    ,     10000
      417,0.619     ,-0.20     ,0.384     ,0.0380    ,     10000
      418,0.857     ,3.57      ,0.513     ,0.0445    ,     10000
      419,0.794     ,-0.40     ,0.307     ,0.0619    ,     10000
      420,0.873     ,2.78      ,0.410     ,0.0565    ,     10000
      421,0.778     ,2.78      ,0.153     ,0.0489    ,     10000
      422,0.492     ,0.20      ,0.410     ,0.0413    ,     10000
